huc,hru,year,RI_fish,RI_invertebrate_water,RI_plant_nonvascular,RI_plant_vascular,RI_invertebrate_sed,RI_net
All Watersheds,Alfalfa and alfalfa mixtures,2015,16.6711991352108,1195.46015299023,1846.79309731717,424.403868226797,6541.34462695553,7867.31777933979
All Watersheds,Alfalfa and alfalfa mixtures,2016,33.1970653672162,990.730563091781,3895.00002209496,1117.71496115508,11519.6820661254,12840.5603361162
All Watersheds,Alfalfa and alfalfa mixtures,2017,30.905825187687,512.200941108592,3142.44965764402,717.449658766389,6230.78023943745,7197.62355592189
All Watersheds,Alfalfa and alfalfa mixtures,2018,23.0062477992207,410.172307545454,1976.3013518885,490.608177501046,4756.60304924561,5500.15778194477
All Watersheds,Alfalfa and alfalfa mixtures,2019,32.0020506945792,120.354476444139,3534.15928571244,997.965554804215,3509.84874717827,4221.20720131009
All Watersheds,Almonds,2015,190.414955099682,3196.87090355297,834.848672783734,31402.0691029471,11835.3891191125,15608.6611164943
All Watersheds,Almonds,2016,457.176549455263,2513.58369973498,2087.70517489276,57541.5631817656,8065.81244640594,12422.8505466756
All Watersheds,Almonds,2017,691.065455689384,2419.94412879639,2285.16594275908,52844.8808884801,6666.23437852903,11380.9055375129
All Watersheds,Almonds,2018,658.139874218072,2401.17639201269,2112.5666162148,59485.7478847097,5462.56742820926,9872.47330110037
All Watersheds,Almonds,2019,884.962834136663,2551.43756247507,2909.83150728365,95961.2923819983,5045.91802724221,10585.8349925439
All Watersheds,Apples,2015,4.66180185336965,258.422838683293,11.4524718417411,169.394663396819,459.614013809805,575.254103489853
All Watersheds,Apples,2016,5.93418503969939,585.734706401184,30.493199798242,183.485958767193,930.165518897002,1165.27420718924
All Watersheds,Apples,2017,5.68087551442896,544.068322126559,33.5908241406938,123.906150262125,691.933370169896,898.678987114221
All Watersheds,Apples,2018,3.77188508189137,375.029138246816,33.8124156560638,84.1827753103122,318.496711187559,407.644489420657
All Watersheds,Apples,2019,4.63870088059174,200.544335288235,53.3845141107781,96.2760441590065,64.4578287111545,108.978912362747
All Watersheds,Beans,2015,1.81003908750875,19.770042745463,39.0887866583232,68.5404874988327,120.532733618963,147.089180610314
All Watersheds,Beans,2016,5.98350424827903,20.9975403656607,90.6473310206412,70.0134024144435,289.935228400673,329.106488442248
All Watersheds,Beans,2017,8.71213461384408,26.1897655454347,94.4985022012914,81.9893843114794,295.830585988764,345.106105792466
All Watersheds,Beans,2018,7.31632528211508,14.5728963182818,66.5748021960672,55.0361384349892,68.4191901287207,97.8016686774833
All Watersheds,Beans,2019,8.29215627720204,12.8504234911659,92.6476725340126,49.0353600847913,54.4190852558337,82.8579887423447
All Watersheds,Bush berries,2015,0.00133341849202469,0.0184204607388921,0.519342403267932,0.327767611769796,0.0165763141093011,0.50126627261114
All Watersheds,Bush berries,2016,0.00171979065491898,0.0570547312402349,1.722469219756,0.300597519942488,0.0594353818952933,1.79812960674543
All Watersheds,Bush berries,2017,0.00811146289266459,0.0700204445144368,3.49409165062326,0.571419520957966,0.0680567683361999,1.73573869889477
All Watersheds,Bush berries,2018,0.0043978497643391,0.0113873937742075,0.415059137828879,0.115771836132693,0.0110135905157388,0.100003913862002
All Watersheds,Bush berries,2019,0.00315074499547427,0.007293882495962,0.276368298411778,6.27311347799017,0.00533352829557986,0.0241547914338409
All Watersheds,Carrots,2015,0.00786825505011938,6.96641825458838,0.561946490648984,0.575521754163316,0.324703559663665,0.858373084077681
All Watersheds,Carrots,2016,0.0718838212883087,0.447090997756745,10.9181889138647,10.3793889219181,0.0421241256594327,18.8135843421213
All Watersheds,Carrots,2017,0.16725301428511,0.791550468465761,17.9691026251873,13.9308606553453,0.0367095907845998,31.1060572644064
All Watersheds,Carrots,2018,0.115513922935424,0.573375589369068,13.2776403089257,12.5478980314536,0.0403772061232908,24.3857938131033
All Watersheds,Carrots,2019,0.0971565204384918,0.337042360099926,7.39939583530572,5.37689970766234,0.0183255990156996,12.9759056012649
All Watersheds,Cherries,2015,17.7847728135178,90.6367075633052,18.8347597740477,607.763572952732,42.2242892194101,82.53294421738
All Watersheds,Cherries,2016,16.6359346728197,121.92533202232,61.5634962231693,1548.11382553911,38.9142410664672,92.525762297566
All Watersheds,Cherries,2017,17.193209846206,250.194181887815,44.3832429557565,1200.26026757218,399.921905632684,526.056937541672
All Watersheds,Cherries,2018,19.2170901485846,92.7969362394026,47.8578191574873,1327.78559203772,38.6938675606045,71.1051323915941
